"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-09T19:20:14.415Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.32","89","72","10.796","228.0","0.54","123","3.13"
"2024-10-09T19:20:15.336Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.32","89","72","10.796","228.0","0.54","123","3.13"
"2024-10-09T19:20:16.443Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.21","0.37","102","76","10.796","228.0","0.59","134","3.59"
"2024-10-09T19:20:17.341Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.21","0.37","102","76","10.796","228.0","0.59","134","3.59"
"2024-10-09T19:20:18.348Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.21","0.37","102","76","10.796","228.0","0.59","134","3.59"
"2024-10-09T19:20:19.421Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.21","0.37","102","76","10.796","228.0","0.59","134","3.59"
"2024-10-09T19:20:20.469Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.21","0.37","102","76","10.796","228.0","0.59","134","3.59"
"2024-10-09T19:20:21.359Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","72","10.797","228.0","0.53","122","3.63"
"2024-10-09T19:20:22.361Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","72","10.797","228.0","0.53","122","3.63"
"2024-10-09T19:20:23.363Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","72","10.797","228.0","0.53","122","3.63"
"2024-10-09T19:20:24.444Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","72","10.797","228.0","0.53","122","3.63"
"2024-10-09T19:20:25.414Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","72","10.797","228.0","0.53","122","3.63"
"2024-10-09T19:20:26.506Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.31","90","73","10.797","228.0","0.54","123","3.90"
"2024-10-09T19:20:27.392Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.31","90","73","10.797","228.0","0.54","123","3.90"
"2024-10-09T19:20:28.409Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.31","90","73","10.797","228.0","0.54","123","3.90"
"2024-10-09T19:20:29.408Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.31","90","73","10.797","228.0","0.54","123","3.90"
"2024-10-09T19:20:30.454Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.31","90","73","10.797","228.0","0.54","123","3.90"
"2024-10-09T19:20:31.444Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.31","87","73","10.797","228.0","0.53","120","3.27"
"2024-10-09T19:20:32.689Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.31","87","73","10.797","228.0","0.53","120","3.27"
"2024-10-09T19:20:33.433Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.31","87","73","10.797","228.0","0.53","120","3.27"
"2024-10-09T19:20:34.435Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.31","87","73","10.797","228.0","0.53","120","3.27"
"2024-10-09T19:20:35.480Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.31","87","73","10.797","228.0","0.53","120","3.27"
"2024-10-09T19:20:36.447Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.797","228.0","0.55","124","3.34"
"2024-10-09T19:20:37.452Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.797","228.0","0.55","124","3.34"
"2024-10-09T19:20:38.529Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.797","228.0","0.55","124","3.34"
"2024-10-09T19:20:39.472Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.797","228.0","0.55","124","3.34"
"2024-10-09T19:20:40.516Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.797","228.0","0.55","124","3.34"
"2024-10-09T19:20:41.491Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.30","85","71","10.797","228.1","0.52","119","3.20"
"2024-10-09T19:20:42.577Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.30","85","71","10.797","228.1","0.52","119","3.20"
"2024-10-09T19:20:43.510Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.30","85","71","10.797","228.1","0.52","119","3.20"
"2024-10-09T19:20:44.616Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.30","85","71","10.797","228.1","0.52","119","3.20"
"2024-10-09T19:20:45.768Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:46.531Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:47.535Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:48.538Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:49.542Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:50.569Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","87","73","10.797","228.2","0.52","120","3.22"
"2024-10-09T19:20:51.700Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","85","72","10.797","228.3","0.52","118","3.30"
"2024-10-09T19:20:52.644Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","85","72","10.797","228.3","0.52","118","3.30"
"2024-10-09T19:20:53.561Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","85","72","10.797","228.3","0.52","118","3.30"
"2024-10-09T19:20:54.567Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","85","72","10.797","228.3","0.52","118","3.30"
"2024-10-09T19:20:55.590Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","73","10.797","228.2","0.53","121","3.26"
"2024-10-09T19:20:56.628Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","73","10.797","228.2","0.53","121","3.26"
"2024-10-09T19:20:57.635Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","73","10.797","228.2","0.53","121","3.26"
"2024-10-09T19:20:58.696Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","73","10.797","228.2","0.53","121","3.26"
"2024-10-09T19:20:59.585Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","88","73","10.797","228.2","0.53","121","3.26"
"2024-10-09T19:21:00.609Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.798","228.3","0.55","125","3.24"
"2024-10-09T19:21:01.597Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.798","228.3","0.55","125","3.24"
"2024-10-09T19:21:02.595Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.798","228.3","0.55","125","3.24"
"2024-10-09T19:21:03.671Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.798","228.3","0.55","125","3.24"
"2024-10-09T19:21:04.601Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.33","91","73","10.798","228.3","0.55","125","3.24"
"2024-10-09T19:21:05.674Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","86","72","10.798","228.2","0.52","120","3.30"
"2024-10-09T19:21:06.615Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","86","72","10.798","228.2","0.52","120","3.30"
