"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-09T18:48:41.482Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.34","122","81","10.747","231.0","0.65","150","2.92"
"2024-10-09T18:48:42.292Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.38","130","82","10.748","230.9","0.69","158","3.31"
"2024-10-09T18:48:43.221Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.38","130","82","10.748","230.9","0.69","158","3.31"
"2024-10-09T18:48:44.225Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.38","130","82","10.748","230.9","0.69","158","3.31"
"2024-10-09T18:48:45.265Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.38","130","82","10.748","230.9","0.69","158","3.31"
"2024-10-09T18:48:46.237Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.38","130","82","10.748","230.9","0.69","158","3.31"
"2024-10-09T18:48:47.239Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.31","120","82","10.748","231.1","0.63","147","2.92"
"2024-10-09T18:48:48.374Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.31","120","82","10.748","231.1","0.63","147","2.92"
"2024-10-09T18:48:49.256Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.31","120","82","10.748","231.1","0.63","147","2.92"
"2024-10-09T18:48:50.267Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.31","120","82","10.748","231.1","0.63","147","2.92"
"2024-10-09T18:48:51.555Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.31","120","82","10.748","231.1","0.63","147","2.92"
"2024-10-09T18:48:52.377Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.33","120","81","10.748","231.2","0.64","148","3.44"
"2024-10-09T18:48:53.284Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.33","120","81","10.748","231.2","0.64","148","3.44"
"2024-10-09T18:48:54.338Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.33","120","81","10.748","231.2","0.64","148","3.44"
"2024-10-09T18:48:55.301Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.33","120","81","10.748","231.2","0.64","148","3.44"
"2024-10-09T18:48:56.301Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.33","120","81","10.748","231.2","0.64","148","3.44"
"2024-10-09T18:48:57.343Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","121","82","10.748","231.1","0.64","148","2.92"
"2024-10-09T18:48:58.306Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","121","82","10.748","231.1","0.64","148","2.92"
"2024-10-09T18:48:59.370Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","121","82","10.748","231.1","0.64","148","2.92"
"2024-10-09T18:49:00.405Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","121","82","10.748","231.1","0.64","148","2.92"
"2024-10-09T18:49:01.347Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","121","82","10.748","231.1","0.64","148","2.92"
"2024-10-09T18:49:02.354Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","117","81","10.748","231.3","0.63","145","2.93"
"2024-10-09T18:49:03.356Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","117","81","10.748","231.3","0.63","145","2.93"
"2024-10-09T18:49:04.361Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","117","81","10.748","231.3","0.63","145","2.93"
"2024-10-09T18:49:05.364Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","117","81","10.748","231.3","0.63","145","2.93"
"2024-10-09T18:49:06.493Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","117","81","10.748","231.3","0.63","145","2.93"
"2024-10-09T18:49:07.378Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.31","118","81","10.749","231.3","0.63","145","3.09"
"2024-10-09T18:49:08.386Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.31","118","81","10.749","231.3","0.63","145","3.09"
"2024-10-09T18:49:09.455Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.31","118","81","10.749","231.3","0.63","145","3.09"
"2024-10-09T18:49:10.407Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.31","118","81","10.749","231.3","0.63","145","3.09"
"2024-10-09T18:49:11.410Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.31","118","81","10.749","231.3","0.63","145","3.09"
"2024-10-09T18:49:12.499Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.32","119","82","10.749","231.2","0.63","146","3.03"
"2024-10-09T18:49:13.473Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.32","119","82","10.749","231.2","0.63","146","3.03"
"2024-10-09T18:49:14.441Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.32","119","82","10.749","231.2","0.63","146","3.03"
"2024-10-09T18:49:15.446Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.32","119","82","10.749","231.2","0.63","146","3.03"
"2024-10-09T18:49:16.478Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.32","119","82","10.749","231.2","0.63","146","3.03"
"2024-10-09T18:49:17.459Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.30","116","82","10.749","229.9","0.62","142","2.91"
"2024-10-09T18:49:18.540Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.30","116","82","10.749","229.9","0.62","142","2.91"
"2024-10-09T18:49:19.539Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.30","116","82","10.749","229.9","0.62","142","2.91"
"2024-10-09T18:49:20.529Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.30","116","82","10.749","229.9","0.62","142","2.91"
"2024-10-09T18:49:21.490Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.30","116","82","10.749","229.9","0.62","142","2.91"
"2024-10-09T18:49:22.510Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","118","81","10.749","230.0","0.63","145","3.12"
"2024-10-09T18:49:23.654Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","118","81","10.749","230.0","0.63","145","3.12"
"2024-10-09T18:49:24.614Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","118","81","10.749","230.0","0.63","145","3.12"
"2024-10-09T18:49:25.520Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","118","81","10.749","230.0","0.63","145","3.12"
"2024-10-09T18:49:26.651Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.33","118","81","10.749","230.0","0.63","145","3.12"
