"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-07T13:23:51.157Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","144","86","8.338","228.1","0.73","167","3.02"
"2024-10-07T13:23:52.194Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","144","86","8.338","228.1","0.73","167","3.02"
"2024-10-07T13:23:53.221Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","87","8.338","228.0","0.74","170","2.86"
"2024-10-07T13:23:54.168Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","87","8.338","228.0","0.74","170","2.86"
"2024-10-07T13:23:55.182Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","87","8.338","228.0","0.74","170","2.86"
"2024-10-07T13:23:56.261Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","87","8.338","228.0","0.74","170","2.86"
"2024-10-07T13:23:57.221Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","87","8.338","228.0","0.74","170","2.86"
"2024-10-07T13:23:58.192Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","145","87","8.338","228.0","0.73","166","2.96"
"2024-10-07T13:23:59.206Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","145","87","8.338","228.0","0.73","166","2.96"
"2024-10-07T13:24:00.212Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","145","87","8.338","228.0","0.73","166","2.96"
"2024-10-07T13:24:01.227Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","145","87","8.338","228.0","0.73","166","2.96"
"2024-10-07T13:24:02.380Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:03.331Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:04.256Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:05.264Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:06.279Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:07.326Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.2","0.74","169","2.83"
"2024-10-07T13:24:08.412Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.0","0.74","168","2.93"
"2024-10-07T13:24:09.292Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.0","0.74","168","2.93"
"2024-10-07T13:24:10.295Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.0","0.74","168","2.93"
"2024-10-07T13:24:11.307Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.0","0.74","168","2.93"
"2024-10-07T13:24:12.342Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","148","88","8.338","228.0","0.74","168","2.93"
"2024-10-07T13:24:13.436Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","147","87","8.339","228.2","0.74","169","3.31"
"2024-10-07T13:24:14.623Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","147","87","8.339","228.2","0.74","169","3.31"
"2024-10-07T13:24:15.329Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","147","87","8.339","228.2","0.74","169","3.31"
"2024-10-07T13:24:16.336Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","147","87","8.339","228.2","0.74","169","3.31"
"2024-10-07T13:24:17.364Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","144","87","8.339","228.2","0.73","166","3.38"
"2024-10-07T13:24:18.408Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","144","87","8.339","228.2","0.73","166","3.38"
"2024-10-07T13:24:19.369Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","144","87","8.339","228.2","0.73","166","3.38"
"2024-10-07T13:24:20.439Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","144","87","8.339","228.2","0.73","166","3.38"
"2024-10-07T13:24:21.381Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","144","87","8.339","228.2","0.73","166","3.38"
"2024-10-07T13:24:22.407Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","87","8.339","228.2","0.72","165","2.91"
"2024-10-07T13:24:23.411Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","87","8.339","228.2","0.72","165","2.91"
"2024-10-07T13:24:24.416Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","87","8.339","228.2","0.72","165","2.91"
"2024-10-07T13:24:25.428Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","87","8.339","228.2","0.72","165","2.91"
"2024-10-07T13:24:26.542Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","87","8.339","228.2","0.72","165","2.91"
"2024-10-07T13:24:27.457Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","147","88","8.339","228.2","0.73","167","2.93"
"2024-10-07T13:24:28.497Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","147","88","8.339","228.2","0.73","167","2.93"
"2024-10-07T13:24:29.482Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","147","88","8.339","228.2","0.73","167","2.93"
"2024-10-07T13:24:30.571Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","147","88","8.339","228.2","0.73","167","2.93"
"2024-10-07T13:24:31.545Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","147","88","8.339","228.2","0.73","167","2.93"
"2024-10-07T13:24:32.592Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","88","8.339","228.2","0.74","169","2.94"
"2024-10-07T13:24:33.518Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","88","8.339","228.2","0.74","169","2.94"
"2024-10-07T13:24:34.526Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","88","8.339","228.2","0.74","169","2.94"
"2024-10-07T13:24:35.535Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","88","8.339","228.2","0.74","169","2.94"
"2024-10-07T13:24:36.547Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.41","148","88","8.339","228.2","0.74","169","2.94"
"2024-10-07T13:24:37.561Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","147","88","8.340","228.3","0.74","168","3.15"
"2024-10-07T13:24:38.666Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","147","88","8.340","228.3","0.74","168","3.15"
"2024-10-07T13:24:39.571Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","147","88","8.340","228.3","0.74","168","3.15"
"2024-10-07T13:24:40.632Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","147","88","8.340","228.3","0.74","168","3.15"
"2024-10-07T13:24:41.596Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","147","88","8.340","228.3","0.74","168","3.15"
"2024-10-07T13:24:42.597Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.40","140","86","8.340","228.2","0.71","162","3.18"
"2024-10-07T13:24:43.604Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.40","140","86","8.340","228.2","0.71","162","3.18"
"2024-10-07T13:24:44.741Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.40","140","86","8.340","228.2","0.71","162","3.18"
"2024-10-07T13:24:45.705Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.40","140","86","8.340","228.2","0.71","162","3.18"
"2024-10-07T13:24:46.629Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.40","140","86","8.340","228.2","0.71","162","3.18"
"2024-10-07T13:24:47.641Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.43","149","87","8.340","228.2","0.75","172","3.13"
"2024-10-07T13:24:48.647Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.43","149","87","8.340","228.2","0.75","172","3.13"
"2024-10-07T13:24:49.703Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.43","149","87","8.340","228.2","0.75","172","3.13"
"2024-10-07T13:24:50.898Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.43","149","87","8.340","228.2","0.75","172","3.13"
"2024-10-07T13:24:51.729Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.43","149","87","8.340","228.2","0.75","172","3.13"
"2024-10-07T13:24:52.676Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","147","88","8.340","228.2","0.74","168","3.03"
"2024-10-07T13:24:53.684Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","147","88","8.340","228.2","0.74","168","3.03"
