"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-07T13:43:22.485Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","87","72","8.382","228.2","0.53","121","3.40"
"2024-10-07T13:43:23.432Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","87","72","8.382","228.2","0.53","121","3.40"
"2024-10-07T13:43:24.479Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","87","72","8.382","228.2","0.53","121","3.40"
"2024-10-07T13:43:25.532Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","85","72","8.382","228.1","0.52","118","3.43"
"2024-10-07T13:43:26.462Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","85","72","8.382","228.1","0.52","118","3.43"
"2024-10-07T13:43:27.542Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","85","72","8.382","228.1","0.52","118","3.43"
"2024-10-07T13:43:28.481Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","85","72","8.382","228.1","0.52","118","3.43"
"2024-10-07T13:43:29.489Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.31","85","72","8.382","228.1","0.52","118","3.43"
"2024-10-07T13:43:30.509Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","95","74","8.382","228.2","0.56","128","3.99"
"2024-10-07T13:43:31.582Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","95","74","8.382","228.2","0.56","128","3.99"
"2024-10-07T13:43:32.572Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","95","74","8.382","228.2","0.56","128","3.99"
"2024-10-07T13:43:33.511Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","95","74","8.382","228.2","0.56","128","3.99"
"2024-10-07T13:43:34.625Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.29","95","74","8.382","228.2","0.56","128","3.99"
"2024-10-07T13:43:35.530Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.30","110","80","8.382","228.2","0.60","137","3.34"
"2024-10-07T13:43:36.543Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.30","110","80","8.382","228.2","0.60","137","3.34"
"2024-10-07T13:43:37.707Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.30","110","80","8.382","228.2","0.60","137","3.34"
"2024-10-07T13:43:38.643Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.30","110","80","8.382","228.2","0.60","137","3.34"
"2024-10-07T13:43:39.559Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.30","110","80","8.382","228.2","0.60","137","3.34"
"2024-10-07T13:43:40.559Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","143","86","8.382","227.9","0.73","167","3.09"
"2024-10-07T13:43:41.644Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","143","86","8.382","227.9","0.73","167","3.09"
"2024-10-07T13:43:42.586Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","143","86","8.382","227.9","0.73","167","3.09"
"2024-10-07T13:43:43.612Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","143","86","8.382","227.9","0.73","167","3.09"
"2024-10-07T13:43:44.713Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.30","0.42","143","86","8.382","227.9","0.73","167","3.09"
"2024-10-07T13:43:45.593Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.383","228.0","0.69","158","3.12"
"2024-10-07T13:43:46.599Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.383","228.0","0.69","158","3.12"
"2024-10-07T13:43:47.611Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.383","228.0","0.69","158","3.12"
"2024-10-07T13:43:48.682Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.383","228.0","0.69","158","3.12"
"2024-10-07T13:43:49.651Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.383","228.0","0.69","158","3.12"
"2024-10-07T13:43:50.709Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","128","83","8.383","228.1","0.67","154","3.24"
"2024-10-07T13:43:51.643Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","128","83","8.383","228.1","0.67","154","3.24"
"2024-10-07T13:43:52.705Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","128","83","8.383","228.1","0.67","154","3.24"
"2024-10-07T13:43:53.720Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","128","83","8.383","228.1","0.67","154","3.24"
"2024-10-07T13:43:54.711Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","128","83","8.383","228.1","0.67","154","3.24"
"2024-10-07T13:43:55.679Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.38","133","84","8.383","228.0","0.70","159","3.03"
"2024-10-07T13:43:56.763Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.38","133","84","8.383","228.0","0.70","159","3.03"
"2024-10-07T13:43:57.683Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.38","133","84","8.383","228.0","0.70","159","3.03"
"2024-10-07T13:43:58.726Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.38","133","84","8.383","228.0","0.70","159","3.03"
"2024-10-07T13:43:59.886Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.38","133","84","8.383","228.0","0.70","159","3.03"
"2024-10-07T13:44:00.709Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","141","87","8.383","227.9","0.71","162","2.99"
"2024-10-07T13:44:01.802Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","141","87","8.383","227.9","0.71","162","2.99"
"2024-10-07T13:44:02.763Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","141","87","8.383","227.9","0.71","162","2.99"
"2024-10-07T13:44:03.731Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","141","87","8.383","227.9","0.71","162","2.99"
"2024-10-07T13:44:04.803Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","141","87","8.383","227.9","0.71","162","2.99"
"2024-10-07T13:44:05.741Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","146","87","8.383","227.9","0.74","168","3.19"
"2024-10-07T13:44:06.741Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","146","87","8.383","227.9","0.74","168","3.19"
"2024-10-07T13:44:07.811Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","146","87","8.383","227.9","0.74","168","3.19"
"2024-10-07T13:44:08.829Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","146","87","8.383","227.9","0.74","168","3.19"
"2024-10-07T13:44:09.802Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.33","0.40","146","87","8.383","227.9","0.74","168","3.19"
"2024-10-07T13:44:10.779Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.384","228.0","0.69","158","3.02"
"2024-10-07T13:44:11.779Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.384","228.0","0.69","158","3.02"
"2024-10-07T13:44:12.791Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.384","228.0","0.69","158","3.02"
"2024-10-07T13:44:13.877Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.384","228.0","0.69","158","3.02"
"2024-10-07T13:44:14.845Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.37","135","85","8.384","228.0","0.69","158","3.02"
"2024-10-07T13:44:15.859Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","145","87","8.384","228.0","0.73","167","2.96"
"2024-10-07T13:44:16.825Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","145","87","8.384","228.0","0.73","167","2.96"
"2024-10-07T13:44:17.832Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","145","87","8.384","228.0","0.73","167","2.96"
"2024-10-07T13:44:18.842Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","145","87","8.384","228.0","0.73","167","2.96"
"2024-10-07T13:44:19.979Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.39","145","87","8.384","228.0","0.73","167","2.96"
"2024-10-07T13:44:20.869Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.38","139","86","8.384","228.1","0.70","161","2.97"
"2024-10-07T13:44:21.868Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.38","139","86","8.384","228.1","0.70","161","2.97"
"2024-10-07T13:44:22.889Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.38","139","86","8.384","228.1","0.70","161","2.97"
"2024-10-07T13:44:24.062Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.38","139","86","8.384","228.1","0.70","161","2.97"
"2024-10-07T13:44:24.939Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.38","139","86","8.384","228.1","0.70","161","2.97"
"2024-10-07T13:44:26.112Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","140","85","8.384","228.3","0.72","164","3.18"
"2024-10-07T13:44:26.933Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","140","85","8.384","228.3","0.72","164","3.18"
"2024-10-07T13:44:27.944Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","140","85","8.384","228.3","0.72","164","3.18"
"2024-10-07T13:44:28.954Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","140","85","8.384","228.3","0.72","164","3.18"
"2024-10-07T13:44:30.010Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","143","87","8.384","228.3","0.72","165","3.07"
"2024-10-07T13:44:30.958Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","143","87","8.384","228.3","0.72","165","3.07"
"2024-10-07T13:44:32.052Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","143","87","8.384","228.3","0.72","165","3.07"
"2024-10-07T13:44:32.979Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","143","87","8.384","228.3","0.72","165","3.07"
"2024-10-07T13:44:33.995Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.39","143","87","8.384","228.3","0.72","165","3.07"
"2024-10-07T13:44:35.010Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","132","85","8.384","228.3","0.68","155","3.05"
"2024-10-07T13:44:36.011Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","132","85","8.384","228.3","0.68","155","3.05"
"2024-10-07T13:44:37.080Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","132","85","8.384","228.3","0.68","155","3.05"
"2024-10-07T13:44:38.113Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","132","85","8.384","228.3","0.68","155","3.05"
"2024-10-07T13:44:39.060Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.36","132","85","8.384","228.3","0.68","155","3.05"
"2024-10-07T13:44:40.047Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.37","140","86","8.385","228.2","0.71","162","3.03"
"2024-10-07T13:44:41.057Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.37","140","86","8.385","228.2","0.71","162","3.03"
"2024-10-07T13:44:42.066Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.37","140","86","8.385","228.2","0.71","162","3.03"
"2024-10-07T13:44:43.109Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.37","140","86","8.385","228.2","0.71","162","3.03"
"2024-10-07T13:44:44.150Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.37","140","86","8.385","228.2","0.71","162","3.03"
"2024-10-07T13:44:45.091Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.32","0.40","144","86","8.385","228.2","0.73","167","2.88"
