"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-09T22:14:21.620Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","91","72","11.156","229.6","0.55","127","3.25"
"2024-10-09T22:14:22.252Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","91","72","11.156","229.6","0.55","127","3.25"
"2024-10-09T22:14:23.081Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.32","94","74","11.156","229.7","0.55","127","3.08"
"2024-10-09T22:14:24.085Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.32","94","74","11.156","229.7","0.55","127","3.08"
"2024-10-09T22:14:25.087Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.32","94","74","11.156","229.7","0.55","127","3.08"
"2024-10-09T22:14:26.088Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.32","94","74","11.156","229.7","0.55","127","3.08"
"2024-10-09T22:14:27.107Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.22","0.32","94","74","11.156","229.7","0.55","127","3.08"
"2024-10-09T22:14:28.429Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.37","93","74","11.157","229.9","0.55","126","3.69"
"2024-10-09T22:14:29.129Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.37","93","74","11.157","229.9","0.55","126","3.69"
"2024-10-09T22:14:30.125Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.37","93","74","11.157","229.9","0.55","126","3.69"
"2024-10-09T22:14:31.134Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.37","93","74","11.157","229.9","0.55","126","3.69"
"2024-10-09T22:14:32.143Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.37","93","74","11.157","229.9","0.55","126","3.69"
"2024-10-09T22:14:33.231Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.35","94","73","11.157","229.8","0.56","128","3.36"
"2024-10-09T22:14:34.233Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.35","94","73","11.157","229.8","0.56","128","3.36"
"2024-10-09T22:14:35.197Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.35","94","73","11.157","229.8","0.56","128","3.36"
"2024-10-09T22:14:36.172Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.35","94","73","11.157","229.8","0.56","128","3.36"
"2024-10-09T22:14:37.194Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.35","94","73","11.157","229.8","0.56","128","3.36"
"2024-10-09T22:14:38.200Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","89","72","11.157","229.8","0.53","123","3.16"
"2024-10-09T22:14:39.251Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","89","72","11.157","229.8","0.53","123","3.16"
"2024-10-09T22:14:40.328Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","89","72","11.157","229.8","0.53","123","3.16"
"2024-10-09T22:14:41.234Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","89","72","11.157","229.8","0.53","123","3.16"
"2024-10-09T22:14:42.427Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.32","89","72","11.157","229.8","0.53","123","3.16"
"2024-10-09T22:14:43.250Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.34","93","74","11.157","229.9","0.55","126","3.48"
"2024-10-09T22:14:44.297Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.34","93","74","11.157","229.9","0.55","126","3.48"
"2024-10-09T22:14:45.260Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.34","93","74","11.157","229.9","0.55","126","3.48"
"2024-10-09T22:14:46.391Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.34","93","74","11.157","229.9","0.55","126","3.48"
"2024-10-09T22:14:47.277Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.34","93","74","11.157","229.9","0.55","126","3.48"
"2024-10-09T22:14:48.283Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.41","145","86","11.157","229.7","0.74","169","2.92"
"2024-10-09T22:14:49.317Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.41","145","86","11.157","229.7","0.74","169","2.92"
"2024-10-09T22:14:50.292Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.41","145","86","11.157","229.7","0.74","169","2.92"
"2024-10-09T22:14:51.316Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.41","145","86","11.157","229.7","0.74","169","2.92"
"2024-10-09T22:14:52.510Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.31","0.41","145","86","11.157","229.7","0.74","169","2.92"
"2024-10-09T22:14:53.412Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.29","0.37","129","83","11.157","229.6","0.68","155","2.93"
