"timestamp","deviceId","deviceName","deviceLabel","deviceState","deviceType","circuit1_current","circuit2_current","total_realPower","total_powerFactor","total_energy","phaseA_voltage","phaseA_current","phaseA_apparentPower","phaseA_currentCrestFactor"
"2024-10-09T22:56:14.406Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.33","90","71","11.250","228.9","0.55","126","3.39"
"2024-10-09T22:56:15.387Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.33","90","71","11.250","228.9","0.55","126","3.39"
"2024-10-09T22:56:16.499Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.33","90","71","11.250","228.9","0.55","126","3.39"
"2024-10-09T22:56:17.624Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.19","0.33","90","71","11.250","228.9","0.55","126","3.39"
"2024-10-09T22:56:18.533Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","93","72","11.250","228.6","0.56","129","3.33"
"2024-10-09T22:56:19.414Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","93","72","11.250","228.6","0.56","129","3.33"
"2024-10-09T22:56:20.417Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","93","72","11.250","228.6","0.56","129","3.33"
"2024-10-09T22:56:21.428Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","93","72","11.250","228.6","0.56","129","3.33"
"2024-10-09T22:56:22.437Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.36","93","72","11.250","228.6","0.56","129","3.33"
"2024-10-09T22:56:23.442Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.38","96","72","11.250","228.7","0.58","133","3.12"
"2024-10-09T22:56:24.641Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.38","96","72","11.250","228.7","0.58","133","3.12"
"2024-10-09T22:56:25.493Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.38","96","72","11.250","228.7","0.58","133","3.12"
"2024-10-09T22:56:26.462Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.38","96","72","11.250","228.7","0.58","133","3.12"
"2024-10-09T22:56:27.474Z","5C0D440B851900C3","Geist Upgradable rPDU","Geist Upgradable rPDU","normal","i03","0.20","0.38","96","72","11.250","228.7","0.58","133","3.12"
