| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
|------------|----------------------|----------------------|---------------------------|
| 1          | 0.040948             | 0.000000             | 4.300781                  |
| 2          | 0.044772             | 0.000000             | 4.371094                  |
| 3          | 0.039859             | 0.000000             | 4.371094                  |
| 4          | 0.041184             | 0.000000             | 4.371094                  |
| 5          | 0.035754             | 0.000000             | 4.371094                  |
| 6          | 0.041919             | 0.000000             | 4.371094                  |
| 7          | 0.041543             | 0.000000             | 4.371094                  |
| 8          | 0.037498             | 0.015625             | 4.371094                  |
| 9          | 0.035791             | 0.031250             | 4.371094                  |
| 10         | 0.037207             | 0.000000             | 4.371094                  |
| 11         | 0.039002             | 0.000000             | 4.371094                  |
| 12         | 0.039336             | 0.031250             | 4.371094                  |
| 13         | 0.035988             | 0.015625             | 4.371094                  |
| 14         | 0.039071             | 0.000000             | 4.371094                  |
| 15         | 0.040223             | 0.000000             | 4.371094                  |
| 16         | 0.039199             | 0.000000             | 4.371094                  |
| 17         | 0.040232             | 0.015625             | 4.371094                  |
| 18         | 0.040582             | 0.000000             | 4.371094                  |
| 19         | 0.037762             | 0.000000             | 4.371094                  |
| 20         | 0.040914             | 0.000000             | 4.371094                  |
| 21         | 0.036250             | 0.000000             | 4.371094                  |
| 22         | 0.036734             | 0.000000             | 4.371094                  |
| 23         | 0.040453             | 0.015625             | 4.371094                  |
| 24         | 0.038133             | 0.000000             | 4.371094                  |
| 25         | 0.038629             | 0.000000             | 4.371094                  |
| 26         | 0.037107             | 0.000000             | 4.371094                  |
| 27         | 0.036637             | 0.015625             | 4.371094                  |
| 28         | 0.041404             | 0.000000             | 4.371094                  |
| 29         | 0.037115             | 0.015625             | 4.371094                  |
| 30         | 0.037551             | 0.015625             | 4.371094                  |
| 31         | 0.036230             | 0.000000             | 4.371094                  |
| 32         | 0.039433             | 0.000000             | 4.371094                  |
| 33         | 0.036505             | 0.000000             | 4.371094                  |
| 34         | 0.036156             | 0.000000             | 4.371094                  |
| 35         | 0.037265             | 0.000000             | 4.371094                  |
| 36         | 0.036560             | 0.000000             | 4.371094                  |
| 37         | 0.038896             | 0.000000             | 4.371094                  |
| 38         | 0.037962             | 0.000000             | 4.371094                  |
| 39         | 0.037673             | 0.015625             | 4.371094                  |
| 40         | 0.038686             | 0.000000             | 4.371094                  |
| 41         | 0.036658             | 0.000000             | 4.371094                  |
| 42         | 0.035011             | 0.000000             | 4.371094                  |
| 43         | 0.039135             | 0.000000             | 4.371094                  |
| 44         | 0.037938             | 0.000000             | 4.371094                  |
| 45         | 0.038632             | 0.015625             | 4.371094                  |
| 46         | 0.037258             | 0.000000             | 4.371094                  |
| 47         | 0.037878             | 0.015625             | 4.371094                  |
| 48         | 0.037036             | 0.015625             | 4.371094                  |
| 49         | 0.036321             | 0.015625             | 4.371094                  |
| 50         | 0.039559             | 0.015625             | 4.371094                  |
| 51         | 0.036596             | 0.031250             | 4.371094                  |
| 52         | 0.038930             | 0.015625             | 4.371094                  |
| 53         | 0.037086             | 0.000000             | 4.371094                  |
| 54         | 0.037639             | 0.000000             | 4.371094                  |
| 55         | 0.039408             | 0.015625             | 4.371094                  |
| 56         | 0.035175             | 0.000000             | 4.371094                  |
| 57         | 0.039616             | 0.031250             | 4.371094                  |
| 58         | 0.034866             | 0.015625             | 4.371094                  |
| 59         | 0.037561             | 0.000000             | 4.371094                  |
| 60         | 0.038569             | 0.015625             | 4.371094                  |
| 61         | 0.036939             | 0.000000             | 4.371094                  |
| 62         | 0.038575             | 0.000000             | 4.371094                  |
| 63         | 0.039922             | 0.000000             | 4.371094                  |
| 64         | 0.041327             | 0.000000             | 4.371094                  |
| 65         | 0.040013             | 0.000000             | 4.371094                  |
| 66         | 0.042368             | 0.015625             | 4.371094                  |
| 67         | 0.039495             | 0.000000             | 4.371094                  |
| 68         | 0.039724             | 0.000000             | 4.371094                  |
| 69         | 0.037803             | 0.031250             | 4.371094                  |
| 70         | 0.042518             | 0.015625             | 4.371094                  |
| 71         | 0.042060             | 0.015625             | 4.371094                  |
| 72         | 0.040670             | 0.015625             | 4.371094                  |
| 73         | 0.038928             | 0.000000             | 4.371094                  |
| 74         | 0.037497             | 0.000000             | 4.371094                  |
| 75         | 0.041939             | 0.000000             | 4.371094                  |
| 76         | 0.041288             | 0.000000             | 4.371094                  |
| 77         | 0.042884             | 0.015625             | 4.371094                  |
| 78         | 0.042578             | 0.000000             | 4.371094                  |
